ID,N,p,mu,f,g,pb_ID
81,15000,1,"@(x,y) (1e-5)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",4
82,15000,1,"@(x,y) (7*1e2)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",5
83,15000,1,"@(x,y) (0.01 * (x<0.5) + 150 * (x>=0.5))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",6
84,15000,1,"@(x,y) (8e-4 * (y<0.5) + 5e-7* (y>=0.5))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",7
85,15000,1,"@(x,y) (1.5 + 3.5 *(x>0.2))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",8
86,15000,1,"@(x,y) (50*(y<=0.34) + 398*(y>0.34))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",9
87,15000,1,"@(x,y) (0.1 * (x < 0.25)  + 1.3 * (x >= 0.25) .* (x <0.75)  +  10 * (x>= 0.75 ))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",10
88,15000,1,"@(x,y) (1e9)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",11
89,17000,1,"@(x,y) (5)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",1
90,17000,1,"@(x,y) (0.03)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",2
91,17000,1,"@(x,y) (25)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",3
92,17000,1,"@(x,y) (1e-5)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",4
93,17000,1,"@(x,y) (7*1e2)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",5
94,17000,1,"@(x,y) (0.01 * (x<0.5) + 150 * (x>=0.5))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",6
95,17000,1,"@(x,y) (8e-4 * (y<0.5) + 5e-7* (y>=0.5))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",7
96,17000,1,"@(x,y) (1.5 + 3.5 *(x>0.2))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",8
97,17000,1,"@(x,y) (50*(y<=0.34) + 398*(y>0.34))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",9
98,17000,1,"@(x,y) (0.1 * (x < 0.25)  + 1.3 * (x >= 0.25) .* (x <0.75)  +  10 * (x>= 0.75 ))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",10
99,17000,1,"@(x,y) (1e9)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",11
100,19000,1,"@(x,y) (5)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",1
101,19000,1,"@(x,y) (0.03)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",2
102,19000,1,"@(x,y) (25)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",3
103,19000,1,"@(x,y) (1e-5)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",4
104,19000,1,"@(x,y) (7*1e2)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",5
105,19000,1,"@(x,y) (0.01 * (x<0.5) + 150 * (x>=0.5))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",6
106,19000,1,"@(x,y) (8e-4 * (y<0.5) + 5e-7* (y>=0.5))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",7
107,19000,1,"@(x,y) (1.5 + 3.5 *(x>0.2))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",8
108,19000,1,"@(x,y) (50*(y<=0.34) + 398*(y>0.34))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",9
109,19000,1,"@(x,y) (0.1 * (x < 0.25)  + 1.3 * (x >= 0.25) .* (x <0.75)  +  10 * (x>= 0.75 ))",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",10
110,19000,1,"@(x,y) (1e9)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",11
111,1000,2,"@(x,y) (5)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",1
112,1000,2,"@(x,y) (0.03)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",2
113,1000,2,"@(x,y) (25)",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",3
